,bike_id,age_scaled,model_type,no_of_riding_sessions,no_of_charging_sessions,charging_behavior,mileage_km_per_soc
55,bike_219,0.26190476190476186,Model_4,1934,142,Good,0.8139835102240468
56,bike_19223,0.26190476190476186,Model_4,1099,101,Good,0.8168421800497161
57,bike_9767,0.26190476190476186,Model_4,617,128,Decent,1.077878151909352
58,bike_24454,0.26190476190476186,Model_4,621,90,Decent,0.8959374829919533
59,bike_2382,0.26190476190476186,Model_4,610,75,Decent,0.906276119710025
60,bike_16409,0.26190476190476186,Model_3,2256,531,Decent,0.600205459619248
61,bike_5280,0.26190476190476186,Model_4,810,44,Good,0.8627338722684561
62,bike_16683,0.26190476190476186,Model_4,1002,102,Decent,0.8639371634107487
63,bike_24066,0.26190476190476186,Model_4,1627,433,Bad,0.8855686171559678
64,bike_6842,0.26190476190476186,Model_4,501,192,Decent,0.7793029606022831
65,bike_10278,0.7857142857142857,Model_1,686,44,Decent,1.50570707
66,bike_8991,0.26190476190476186,Model_4,973,109,Bad,1.0349508268397043
67,bike_6601,0.26190476190476186,Model_4,1373,149,Bad,0.8178540832402935
68,bike_14784,0.26190476190476186,Model_4,1091,27,Good,0.8405305665862097
69,bike_12094,0.7857142857142857,Model_1,117,22,Decent,0.93074451
70,bike_17921,0.26190476190476186,Model_4,298,45,Good,0.7846180769992572
71,bike_19947,0.26190476190476186,Model_4,1109,139,Bad,0.98676707436251
72,bike_16509,0.26190476190476186,Model_4,226,47,Bad,0.73633731688
73,bike_747,0.26190476190476186,Model_4,844,64,Decent,0.8265101513601135
74,bike_17962,0.26190476190476186,Model_4,1027,120,Decent,0.8413840952941032
75,bike_2729,0.26190476190476186,Model_4,368,31,Good,0.7948771375262309
76,bike_18072,0.26190476190476186,Model_3,646,110,Decent,0.8717713088275939
77,bike_17602,0.26190476190476186,Model_4,684,99,Decent,0.8041523480311966
78,bike_24784,0.26190476190476186,Model_4,892,64,Good,0.7958376410053511
79,bike_23895,0.26190476190476186,Model_4,316,108,Bad,0.7556687481891021
80,bike_19578,0.26190476190476186,Model_4,1540,209,Bad,0.8351015564383202
81,bike_6012,0.26190476190476186,Model_4,1582,54,Good,0.9667125560165976
82,bike_9323,0.26190476190476186,Model_3,1714,244,Bad,1.0176397351783568
83,bike_632,0.26190476190476186,Model_4,765,90,Decent,0.878911233683399
84,bike_21339,0.26190476190476186,Model_4,749,163,Bad,0.8198430306942466
85,bike_9175,0.26190476190476186,Model_4,359,57,Decent,0.8161659848442098
86,bike_2522,0.26190476190476186,Model_4,909,130,Decent,0.8171508864422186
87,bike_10006,0.26190476190476186,Model_4,304,12,Good,0.829941929699842
88,bike_25618,0.26190476190476186,Model_4,379,21,Good,0.8753532271545772
89,bike_5745,0.26190476190476186,Model_4,1508,156,Decent,0.9084257901097216
90,bike_7038,0.26190476190476186,Model_4,1839,159,Decent,1.106408501179049
91,bike_11557,0.26190476190476186,Model_3,436,87,Bad,1.0384284096701726
92,bike_1600,0.26190476190476186,Model_4,1481,152,Decent,1.1236677041113627
93,bike_5092,0.7857142857142857,Model_1,248,74,Decent,0.9360330541204818
94,bike_428,0.23809523809523808,Model_4,386,86,Decent,0.9001696710803491
95,bike_7166,0.7857142857142857,Model_1,142,37,Decent,0.7575109445727483
96,bike_20049,0.23809523809523808,Model_4,616,138,Bad,0.7780700279336351
97,bike_24821,0.23809523809523808,Model_4,316,28,Decent,0.9446862611295682
98,bike_21417,0.23809523809523808,Model_4,934,119,Good,1.0547338480477235
99,bike_15112,0.23809523809523808,Model_4,148,21,Good,1.0071173090016103
100,bike_7540,0.23809523809523808,Model_4,625,213,Decent,0.9893908521653012
101,bike_12105,0.23809523809523808,Model_4,442,95,Decent,0.8683873147943563
102,bike_4858,0.23809523809523808,Model_4,6,8,Bad,0.9776678571428572
103,bike_17258,0.23809523809523808,Model_3,484,44,Decent,0.7315404253335059
104,bike_7286,0.23809523809523808,Model_4,648,93,Decent,1.0103726117012162
105,bike_20762,0.23809523809523808,Model_4,564,55,Decent,0.9334553604382144
106,bike_11037,0.23809523809523808,Model_4,150,19,Good,0.7304198671217409
107,bike_12922,0.7857142857142857,Model_1,759,78,Decent,0.6261879204285714
108,bike_23077,0.23809523809523808,Model_4,1077,34,Decent,0.8954475364467508
109,bike_17016,0.23809523809523808,Model_3,446,71,Bad,0.89869043540299
110,bike_15187,0.23809523809523808,Model_4,2224,137,Bad,1.0963447483707025
111,bike_25204,0.23809523809523808,Model_4,1003,250,Decent,0.8431260221661905
112,bike_10713,0.23809523809523808,Model_4,349,84,Decent,1.060077395090493
113,bike_19616,0.23809523809523808,Model_4,1035,131,Decent,0.6458768629616374
114,bike_21976,0.23809523809523808,Model_4,164,11,Good,0.8215769204482416
115,bike_13412,0.23809523809523808,Model_4,1063,236,Decent,0.927265028988915
116,bike_23011,0.23809523809523808,Model_4,1509,118,Decent,0.6725251050533093
117,bike_24565,0.23809523809523808,Model_4,374,90,Decent,0.8126244405471642
118,bike_23115,0.23809523809523808,Model_4,1458,125,Bad,1.137997129707113
119,bike_23508,0.23809523809523808,Model_4,813,146,Decent,1.0147398060106816
120,bike_21209,0.23809523809523808,Model_4,564,30,Good,0.8490356246527154
121,bike_5751,0.23809523809523808,Model_4,847,95,Bad,0.9530833469494632
122,bike_19668,0.7857142857142857,Model_1,1471,390,Bad,0.7526345620336943
123,bike_11031,0.23809523809523808,Model_4,672,29,Good,1.014629313282742
124,bike_11077,0.23809523809523808,Model_4,1933,122,Good,1.011580523009172
125,bike_4248,0.7857142857142857,Model_1,249,93,Bad,0.736313258
126,bike_21649,0.23809523809523808,Model_4,564,46,Good,0.5058684516385429
127,bike_7687,0.9285714285714285,Model_1,230,38,Decent,0.7895110298765432
128,bike_16141,0.23809523809523808,Model_4,1524,118,Good,0.8754498220658072
129,bike_11414,0.23809523809523808,Model_4,2194,145,Decent,0.7143535523593568
130,bike_6690,0.23809523809523808,Model_4,1595,57,Decent,0.9715180280852056
131,bike_20806,0.23809523809523808,Model_4,578,66,Decent,0.9088647453355836
132,bike_14385,0.23809523809523808,Model_4,1004,85,Good,0.7973281436403576
133,bike_20050,0.23809523809523808,Model_4,2126,286,Bad,0.9255124499272296
134,bike_5689,0.23809523809523808,Model_4,553,45,Good,0.9529800168813468
135,bike_21602,0.23809523809523808,Model_4,2034,225,Decent,0.8159946500550821
136,bike_3571,0.23809523809523808,Model_4,384,86,Bad,0.9271961358441072
137,bike_4353,0.23809523809523808,Model_4,481,47,Decent,0.971616314674634
138,bike_26244,0.23809523809523808,Model_4,1029,133,Bad,0.96171180315814
139,bike_9128,0.23809523809523808,Model_4,285,64,Decent,0.81949318030322
140,bike_7964,0.23809523809523808,Model_4,658,125,Bad,0.8383881540237546
141,bike_15269,0.23809523809523808,Model_4,594,105,Good,1.053284663556074
142,bike_4964,0.23809523809523808,Model_4,1196,119,Decent,1.0731853606386432
143,bike_8400,0.23809523809523808,Model_4,35,9,Good,0.9248223621164438
144,bike_18751,0.23809523809523808,Model_4,547,55,Decent,0.8551094862074802
145,bike_7983,0.23809523809523808,Model_4,1764,87,Decent,0.8725710308853243
146,bike_16160,0.23809523809523808,Model_4,1972,159,Decent,0.9168287603984936
147,bike_17993,0.23809523809523808,Model_4,691,31,Decent,0.697338552384367
148,bike_4950,0.23809523809523808,Model_4,362,31,Decent,0.8331588493251021
149,bike_5388,0.23809523809523808,Model_4,1994,107,Decent,0.937336919685208
150,bike_7553,0.7857142857142857,Model_1,112,37,Decent,1.1253348
151,bike_19708,0.23809523809523808,Model_4,1017,57,Good,1.0907562479430186
152,bike_27212,0.23809523809523808,Model_4,610,73,Good,0.743069460259918
153,bike_20584,0.23809523809523808,Model_4,1070,208,Decent,0.9628335103240868
154,bike_15466,0.23809523809523808,Model_4,190,41,Good,0.9232714780919826
155,bike_13090,0.23809523809523808,Model_3,1110,162,Decent,0.8270811893018176
156,bike_27602,0.23809523809523808,Model_4,865,51,Decent,0.8000956429013619
157,bike_22265,0.23809523809523808,Model_4,1094,231,Decent,0.9070708374290546
158,bike_21398,0.23809523809523808,Model_4,1404,82,Good,0.8869444740061251
159,bike_2229,0.23809523809523808,Model_4,1630,117,Decent,0.9400556739155288
160,bike_10452,0.23809523809523808,Model_4,1524,190,Bad,0.8786198762914627
161,bike_15705,0.23809523809523808,Model_4,1136,80,Good,0.9803524805690036
162,bike_14942,0.19047619047619047,Model_4,274,30,Good,0.9606145320035724
163,bike_13194,0.19047619047619047,Model_4,1000,39,Good,0.8870481356298286
164,bike_9990,0.19047619047619047,Model_4,384,17,Good,1.056733537625179
165,bike_497,0.19047619047619047,Model_4,552,110,Decent,0.8241031608522212
166,bike_22107,0.19047619047619047,Model_4,590,101,Decent,0.7961194327241592
167,bike_4254,0.7857142857142857,Model_1,720,82,Decent,0.7655365973333333
168,bike_20768,0.19047619047619047,Model_4,249,14,Good,0.9904360310727496
169,bike_15590,0.19047619047619047,Model_4,785,206,Decent,1.0347669674733082
170,bike_4936,0.7857142857142857,Model_1,588,78,Decent,0.6443844653846155
171,bike_16727,0.19047619047619047,Model_4,1048,137,Decent,0.7549310894941359
172,bike_4535,0.7857142857142857,Model_1,694,269,Decent,0.6678479238333334
173,bike_25448,0.19047619047619047,Model_3,2071,288,Bad,0.8214241660117676
174,bike_21959,0.19047619047619047,Model_3,1644,213,Bad,1.060185283039032
175,bike_2904,0.19047619047619047,Model_4,1099,159,Decent,0.9840954655543612
176,bike_17793,0.19047619047619047,Model_3,1487,216,Decent,0.8738326493178302
177,bike_21812,0.19047619047619047,Model_4,700,96,Bad,1.0743183206005793
178,bike_5778,0.19047619047619047,Model_4,1366,130,Decent,0.9313005383897666
179,bike_3076,0.7857142857142857,Model_1,756,189,Decent,0.6650307833333333
180,bike_18634,0.19047619047619047,Model_3,642,69,Decent,0.8164384548498149
181,bike_18251,0.19047619047619047,Model_4,592,99,Decent,0.7896011631006663
182,bike_1942,0.19047619047619047,Model_3,711,214,Decent,0.84383058149639
183,bike_10833,0.7857142857142857,Model_1,996,250,Bad,0.9697721267785232
184,bike_654,0.19047619047619047,Model_4,1163,131,Bad,1.5181079598041065
185,bike_1062,0.19047619047619047,Model_4,877,144,Decent,1.012165401115223
186,bike_12875,0.19047619047619047,Model_4,286,21,Good,0.7958557402784843
187,bike_3988,0.19047619047619047,Model_4,1376,172,Bad,0.8585204552023404
188,bike_20221,0.19047619047619047,Model_4,1773,293,Bad,0.8057087303117212
189,bike_18033,0.19047619047619047,Model_4,780,93,Decent,0.9839644241404496
190,bike_8225,0.19047619047619047,Model_4,1637,166,Bad,0.9338740387663048
191,bike_20649,0.19047619047619047,Model_4,823,62,Decent,0.8788156018303361
192,bike_15079,0.19047619047619047,Model_4,1041,73,Good,0.7449124176114006
193,bike_27363,0.7857142857142857,Model_1,288,21,Good,0.664642413962264
194,bike_14366,0.19047619047619047,Model_4,1549,241,Bad,1.0140832839678604
195,bike_14326,0.7857142857142857,Model_1,1284,158,Bad,1.0243451165745856
196,bike_15807,0.19047619047619047,Model_4,564,51,Good,0.9346532461036432
197,bike_11145,0.19047619047619047,Model_4,1160,156,Decent,0.8765403887816932
198,bike_25077,0.19047619047619047,Model_4,509,70,Decent,0.8368649147257337
199,bike_12458,0.7857142857142857,Model_1,207,25,Decent,0.6796862033333333
200,bike_19238,0.19047619047619047,Model_4,319,34,Decent,1.4701144910128174
201,bike_9239,0.19047619047619047,Model_4,91,13,Decent,0.8378815911688311
202,bike_24946,0.19047619047619047,Model_3,1089,143,Decent,1.0752181401426375
203,bike_6839,0.19047619047619047,Model_4,1251,142,Bad,0.8929097457386364
204,bike_10654,0.7857142857142857,Model_1,559,127,Decent,0.5734317543333333
205,bike_5815,0.19047619047619047,Model_4,1519,303,Decent,0.8634814972406685
206,bike_17777,0.19047619047619047,Model_4,1665,286,Decent,0.7397889708207402
207,bike_5567,0.19047619047619047,Model_4,375,24,Good,0.6579334553943638
208,bike_20774,0.7857142857142857,Model_1,358,81,Decent,0.8131483590789474
209,bike_14622,0.19047619047619047,Model_4,1216,55,Decent,0.9251280070674724
210,bike_254,0.19047619047619047,Model_3,109,29,Decent,1.0268841923655234
211,bike_17189,0.7857142857142857,Model_1,396,53,Decent,0.7468893600000001
212,bike_8789,0.19047619047619047,Model_4,721,138,Decent,0.988800031319947
213,bike_27368,0.19047619047619047,Model_3,1405,252,Bad,0.9987275095173496
214,bike_12203,0.19047619047619047,Model_4,522,104,Decent,0.8799746682124789
215,bike_27810,0.19047619047619047,Model_4,989,137,Decent,0.8903900410588235
216,bike_12240,0.19047619047619047,Model_4,1234,135,Decent,0.6742104555151233
217,bike_212,0.19047619047619047,Model_4,1456,127,Bad,0.7827529238860991
218,bike_24360,0.19047619047619047,Model_4,693,138,Decent,0.9222084395090072
219,bike_14988,0.19047619047619047,Model_3,1537,176,Decent,0.8333318829719489
220,bike_1608,0.19047619047619047,Model_4,700,46,Good,0.7784718656735921
221,bike_302,0.19047619047619047,Model_4,1383,70,Decent,0.7178691115657627
222,bike_20000,0.19047619047619047,Model_4,1601,181,Bad,0.8882295837000266
223,bike_25414,0.19047619047619047,Model_4,1117,163,Bad,0.9627985957393208
224,bike_6914,0.19047619047619047,Model_4,640,141,Decent,0.8637176355202947
225,bike_5307,0.19047619047619047,Model_4,390,62,Bad,0.9847647242084964
226,bike_3620,0.19047619047619047,Model_4,372,44,Decent,1.5435437238105707
227,bike_26081,0.19047619047619047,Model_4,506,67,Decent,0.9086515464356472
228,bike_23439,0.19047619047619047,Model_4,824,124,Decent,0.8816355032005863
229,bike_1874,0.19047619047619047,Model_4,397,45,Good,0.8348307132459971
230,bike_6224,0.19047619047619047,Model_4,499,74,Decent,0.7784998657807457
231,bike_6458,0.19047619047619047,Model_3,272,23,Decent,0.8863739981571673
232,bike_6825,0.19047619047619047,Model_4,1259,137,Decent,0.8489203348790662
233,bike_17079,0.19047619047619047,Model_4,784,254,Bad,0.8016652132290816
234,bike_24085,0.19047619047619047,Model_4,1154,186,Decent,0.8789421421305886
235,bike_2751,0.19047619047619047,Model_4,670,109,Decent,0.855661073655263
236,bike_25536,0.19047619047619047,Model_4,1726,163,Decent,0.8483800636567284
237,bike_4318,0.19047619047619047,Model_4,40,3,Good,0.7539961093493712
238,bike_13378,0.19047619047619047,Model_4,510,39,Decent,0.8117959640088173
239,bike_26481,0.19047619047619047,Model_4,635,56,Good,0.9001046254121001
240,bike_2900,0.19047619047619047,Model_4,588,108,Decent,0.9265024775323952
241,bike_11777,0.19047619047619047,Model_4,743,81,Decent,0.8485428665333133
242,bike_7984,0.19047619047619047,Model_4,1508,300,Decent,0.9247908616542432
243,bike_27225,0.19047619047619047,Model_4,1188,236,Bad,0.8922427327203788
244,bike_16552,0.19047619047619047,Model_4,912,76,Decent,0.8321666706289966
245,bike_17092,0.19047619047619047,Model_4,370,22,Good,0.8385491941437547
246,bike_27502,0.19047619047619047,Model_4,84,14,Decent,0.946814436146318
247,bike_25382,0.19047619047619047,Model_4,352,50,Decent,0.8690721808254036
248,bike_22310,0.19047619047619047,Model_4,498,34,Good,1.0132407289339451
249,bike_4813,0.19047619047619047,Model_4,1009,204,Decent,0.9043787349532364
250,bike_3410,0.19047619047619047,Model_4,517,76,Decent,0.8439860882393266
251,bike_24081,0.19047619047619047,Model_4,1402,104,Decent,0.9374984297135308
252,bike_26882,0.19047619047619047,Model_4,449,75,Decent,0.7659003856906714
253,bike_7001,0.19047619047619047,Model_3,32,8,Decent,0.8530207239441566
254,bike_9922,0.19047619047619047,Model_4,749,96,Decent,0.9525246995338528
255,bike_848,0.19047619047619047,Model_3,719,89,Decent,1.0182285977870584
256,bike_23875,0.19047619047619047,Model_4,831,177,Good,0.9967892768213844
257,bike_19556,0.7857142857142857,Model_1,48,12,Good,0.8191490817647059
258,bike_22304,0.19047619047619047,Model_3,1406,138,Decent,0.7290123098570703
259,bike_18571,0.19047619047619047,Model_4,1563,100,Good,0.9089298671860476
260,bike_20626,0.19047619047619047,Model_4,669,110,Good,0.713808302412686
261,bike_25359,0.7857142857142857,Model_1,1506,166,Decent,0.8204185521041262
262,bike_15403,0.19047619047619047,Model_4,815,76,Decent,0.9355769371115988
263,bike_8479,0.19047619047619047,Model_4,583,111,Bad,0.932955468949655
264,bike_20333,0.19047619047619047,Model_4,2004,192,Decent,0.8944633256578948
265,bike_11110,0.19047619047619047,Model_4,540,32,Good,0.9705478269103156
266,bike_21479,0.19047619047619047,Model_3,2248,194,Decent,0.9723457054236082
267,bike_1978,0.19047619047619047,Model_4,135,28,Bad,0.9176203710663684
268,bike_22088,0.19047619047619047,Model_3,2166,275,Decent,0.8350985822266233
269,bike_16055,0.19047619047619047,Model_3,870,151,Decent,1.0131726498617109
270,bike_9215,0.19047619047619047,Model_3,859,44,Good,0.8988103305777109
271,bike_15665,0.19047619047619047,Model_4,1163,118,Bad,0.8324458511559272
272,bike_11212,0.19047619047619047,Model_4,506,68,Decent,0.8646708928699688
273,bike_2717,0.19047619047619047,Model_4,710,196,Bad,0.7663187119821923
274,bike_21901,0.19047619047619047,Model_3,1167,111,Bad,0.928065075206107
275,bike_25288,0.19047619047619047,Model_4,313,28,Decent,0.9519229101914728
276,bike_9417,0.19047619047619047,Model_4,443,16,Good,1.2046777601432193
277,bike_25222,0.19047619047619047,Model_4,1980,117,Decent,0.7948253386607961
278,bike_21816,0.19047619047619047,Model_3,332,38,Bad,0.838485346480335
279,bike_2545,0.19047619047619047,Model_4,601,176,Decent,0.9114329068344632
280,bike_25905,0.19047619047619047,Model_4,837,102,Decent,1.9794034924165824
281,bike_19507,0.19047619047619047,Model_4,36,13,Bad,0.6031847409638553
282,bike_1677,0.19047619047619047,Model_3,1317,300,Decent,0.6184157441350552
283,bike_912,0.19047619047619047,Model_4,519,107,Decent,0.8629247375458572
284,bike_23623,0.19047619047619047,Model_4,621,35,Decent,1.1482488616272395
285,bike_17814,0.19047619047619047,Model_4,1298,243,Decent,0.815038164215328
286,bike_24054,0.19047619047619047,Model_4,2644,242,Bad,0.9783206329617992
287,bike_26167,0.19047619047619047,Model_4,1276,113,Good,1.0000217906180655
288,bike_643,0.19047619047619047,Model_4,1584,115,Decent,0.961728700656158
289,bike_11614,0.19047619047619047,Model_4,771,93,Decent,0.8090549425049429
290,bike_18962,0.7857142857142857,Model_1,631,53,Decent,0.8115131769565218
291,bike_2632,0.19047619047619047,Model_4,520,57,Decent,0.9028157351025926
292,bike_15202,0.19047619047619047,Model_4,934,37,Decent,0.986715694952704
293,bike_23263,0.19047619047619047,Model_4,718,156,Decent,0.8251077893859416
294,bike_18984,0.19047619047619047,Model_3,139,15,Decent,0.9272302773615396
295,bike_25043,0.19047619047619047,Model_4,1410,191,Bad,0.9294473128318984
296,bike_9539,0.19047619047619047,Model_4,1666,112,Decent,0.9438950471738666
297,bike_8972,0.7619047619047619,Model_1,54,28,Bad,0.9135822258940396
298,bike_11282,0.19047619047619047,Model_4,1144,231,Bad,0.8859539471925895
299,bike_22217,0.19047619047619047,Model_4,1270,223,Decent,0.7753725783032909
300,bike_5219,0.19047619047619047,Model_4,1149,74,Good,0.8156405823157894
301,bike_17681,0.19047619047619047,Model_4,1555,129,Bad,1.0259526225299536
302,bike_23035,0.19047619047619047,Model_4,1450,195,Bad,0.9378617404376114
303,bike_26924,0.19047619047619047,Model_4,1339,112,Decent,0.8566835918637109
304,bike_22351,0.19047619047619047,Model_4,355,29,Decent,0.8694161557849314
305,bike_12772,0.7619047619047619,Model_1,1068,227,Decent,0.7116070294329184
306,bike_18055,0.19047619047619047,Model_4,563,49,Decent,0.8712363052763369
307,bike_2835,0.19047619047619047,Model_4,2065,195,Decent,1.1235608258558278
308,bike_18618,0.19047619047619047,Model_4,1620,104,Decent,0.8731305086033959
309,bike_6783,0.19047619047619047,Model_4,1199,97,Decent,0.959817630822788
310,bike_24866,0.19047619047619047,Model_4,2475,118,Good,0.9425136985278136
311,bike_20352,0.19047619047619047,Model_4,474,82,Decent,0.8162111985472156
312,bike_17919,0.19047619047619047,Model_4,769,165,Decent,0.9469570041932908
313,bike_14248,0.19047619047619047,Model_3,628,219,Bad,0.8354719169965662
314,bike_4511,0.16666666666666663,Model_4,883,86,Decent,0.9296264185881212
315,bike_19215,0.16666666666666663,Model_4,2065,391,Bad,0.9278141161667612
316,bike_24022,0.16666666666666663,Model_4,716,23,Good,0.8880635245225587
317,bike_26024,0.7619047619047619,Model_1,577,129,Decent,0.8694999327261727
318,bike_12325,0.16666666666666663,Model_4,384,96,Decent,1.010209348073555
319,bike_3798,0.16666666666666663,Model_4,166,11,Decent,1.7824516535787986
320,bike_23312,0.7619047619047619,Model_1,94,21,Decent,0.5187956990000001
321,bike_14424,0.16666666666666663,Model_4,602,30,Good,0.8430433385747899
322,bike_5822,0.16666666666666663,Model_4,719,149,Decent,0.7196761229291383
323,bike_1441,0.7619047619047619,Model_1,996,128,Bad,0.5903054949700599
324,bike_21777,0.16666666666666663,Model_4,120,31,Good,0.7488436239279588
325,bike_9318,0.16666666666666663,Model_4,2567,157,Good,0.8387162207227701
326,bike_26388,0.16666666666666663,Model_4,475,101,Bad,0.8939873492306222
327,bike_18223,0.16666666666666663,Model_4,1197,191,Decent,1.037739832030527
328,bike_10132,0.16666666666666663,Model_4,1374,32,Good,1.044948058787177
329,bike_7924,0.16666666666666663,Model_4,748,170,Decent,0.8164479201759869
330,bike_21633,0.16666666666666663,Model_4,621,86,Bad,1.0250060518553503
331,bike_6809,0.16666666666666663,Model_4,200,36,Decent,0.7416483203661327
332,bike_2402,0.16666666666666663,Model_4,227,16,Good,1.0641814852233678
333,bike_12364,0.7619047619047619,Model_1,200,130,Good,0.5515917912
334,bike_14673,0.16666666666666663,Model_4,1717,264,Decent,0.9164903554269784
335,bike_13554,0.16666666666666663,Model_4,150,15,Decent,0.73785644389195
336,bike_20788,0.16666666666666663,Model_3,1760,225,Decent,1.0345425223681002
337,bike_15531,0.16666666666666663,Model_4,1783,119,Decent,0.9432698872491434
338,bike_12542,0.16666666666666663,Model_4,1477,136,Decent,0.8386503171670043
339,bike_15986,0.16666666666666663,Model_4,189,31,Decent,0.781019872504849
340,bike_26865,0.16666666666666663,Model_4,109,57,Bad,0.7126555
341,bike_4608,0.16666666666666663,Model_4,1093,109,Decent,1.0143166136705326
342,bike_15632,0.16666666666666663,Model_4,715,121,Decent,0.9012452276141312
343,bike_1153,0.16666666666666663,Model_4,2213,105,Decent,0.90780216449532
344,bike_14436,0.16666666666666663,Model_4,1353,81,Decent,0.8455341664166308
345,bike_9386,0.16666666666666663,Model_3,684,117,Bad,0.8906270000351949
346,bike_17460,0.16666666666666663,Model_4,297,73,Decent,1.0059259476555709
347,bike_21279,0.16666666666666663,Model_4,786,112,Decent,0.8414760375490152
348,bike_1594,0.16666666666666663,Model_4,816,56,Decent,0.7337553996411176
349,bike_8537,0.16666666666666663,Model_4,727,109,Decent,0.8658708545602367
350,bike_26348,0.16666666666666663,Model_4,733,159,Decent,0.8969028581168914
351,bike_17616,0.16666666666666663,Model_4,1267,113,Decent,1.0264889861211808
352,bike_16341,0.16666666666666663,Model_4,1685,136,Decent,0.9424412629706542
353,bike_13610,0.16666666666666663,Model_4,2062,241,Bad,0.8235326897514117
354,bike_13901,0.16666666666666663,Model_4,910,209,Decent,0.8394488864218475
355,bike_20876,0.9285714285714285,Model_1,861,118,Decent,0.9703734042668428
